Phi	Col1	Col2	Theta	Intensity
86.0	142531.0	140234.0	51.0	0.0163736
89.0	142896.0	140234.0	51.0	0.0189793
92.0	142486.0	140234.0	51.0	0.0160522
95.0	141371.0	140234.0	51.0	0.00810335
98.0	140022.0	140234.0	51.0	-0.00151292
101.0	139698.0	140234.0	51.0	-0.00382738
104.0	139034.0	140234.0	51.0	-0.00855804
107.0	138732.0	140234.0	51.0	-0.0107137
110.0	138934.0	140234.0	51.0	-0.00927652
113.0	139802.0	140234.0	51.0	-0.00308599
116.0	139988.0	140234.0	51.0	-0.00176094
119.0	139418.0	140234.0	51.0	-0.00582014
122.0	139654.0	140234.0	51.0	-0.00413727
125.0	140785.0	140234.0	51.0	0.00392654
128.0	141307.0	140234.0	51.0	0.00764478
131.0	140752.0	140234.0	51.0	0.003693
41.0	137412.0	136805.0	54.0	0.00443604
44.0	137197.0	136805.0	54.0	0.00286076
47.0	136774.0	136805.0	54.0	-0.000230789
50.0	136608.0	136805.0	54.0	-0.00144476
53.0	136453.0	136805.0	54.0	-0.00257175
56.0	136620.0	136805.0	54.0	-0.00135322
59.0	136611.0	136805.0	54.0	-0.0014179
62.0	136232.0	136805.0	54.0	-0.00418842
65.0	136323.0	136805.0	54.0	-0.00352506
68.0	136941.0	136805.0	54.0	0.000988547
71.0	136631.0	136805.0	54.0	-0.00127384
74.0	136435.0	136805.0	54.0	-0.00270564
77.0	135853.0	136805.0	54.0	-0.00696281
80.0	136199.0	136805.0	54.0	-0.00443398
83.0	137003.0	136805.0	54.0	0.00144222
86.0	137831.0	136805.0	54.0	0.0074981
89.0	139225.0	136805.0	54.0	0.0176885
92.0	138708.0	136805.0	54.0	0.0139061
95.0	137949.0	136805.0	54.0	0.00836049
98.0	136541.0	136805.0	54.0	-0.00193115
101.0	136369.0	136805.0	54.0	-0.00318656
104.0	135862.0	136805.0	54.0	-0.00689436
107.0	135899.0	136805.0	54.0	-0.00662634
110.0	135649.0	136805.0	54.0	-0.00844923
113.0	136251.0	136805.0	54.0	-0.0040497
116.0	136801.0	136805.0	54.0	-2.80918e-05
119.0	136600.0	136805.0	54.0	-0.00150385
122.0	136365.0	136805.0	54.0	-0.00321593
125.0	136430.0	136805.0	54.0	-0.00274082
128.0	137302.0	136805.0	54.0	0.00362756
131.0	137899.0	136805.0	54.0	0.00799473
41.0	137147.0	135445.0	57.0	0.0125669
44.0	136309.0	135445.0	57.0	0.00637675
47.0	135121.0	135445.0	57.0	-0.00239456
50.0	134715.0	135445.0	57.0	-0.00538849
53.0	134090.0	135445.0	57.0	-0.0100097
56.0	134665.0	135445.0	57.0	-0.00575833
59.0	135629.0	135445.0	57.0	0.00135714
62.0	135090.0	135445.0	57.0	-0.00262097
65.0	135054.0	135445.0	57.0	-0.00289075
68.0	134950.0	135445.0	57.0	-0.00365874
71.0	135964.0	135445.0	57.0	0.00382808
74.0	134670.0	135445.0	57.0	-0.00572426
77.0	134041.0	135445.0	57.0	-0.0103661
80.0	133451.0	135445.0	57.0	-0.0147219
83.0	134972.0	135445.0	57.0	-0.00349626
86.0	137488.0	135445.0	57.0	0.0150809
89.0	138077.0	135445.0	57.0	0.0194312
92.0	138589.0	135445.0	57.0	0.0232084
95.0	136809.0	135445.0	57.0	0.0100694
98.0	136495.0	135445.0	57.0	0.00775295
101.0	135728.0	135445.0	57.0	0.00208403
104.0	136355.0	135445.0	57.0	0.00671373
107.0	136383.0	135445.0	57.0	0.00692507
110.0	135138.0	135445.0	57.0	-0.00227225
113.0	132778.0	135445.0	57.0	-0.0196963
116.0	131693.0	135445.0	57.0	-0.0277003
119.0	132262.0	135445.0	57.0	-0.0235013
122.0	133720.0	135445.0	57.0	-0.0127389
125.0	135133.0	135445.0	57.0	-0.00230822
128.0	137177.0	135445.0	57.0	0.0127839
131.0	139163.0	135445.0	57.0	0.0274478
41.0	132040.0	129773.0	60.0	0.0174757
44.0	129884.0	129773.0	60.0	0.000858323
47.0	129246.0	129773.0	60.0	-0.00405501
50.0	128687.0	129773.0	60.0	-0.0083646
53.0	129075.0	129773.0	60.0	-0.00537315
56.0	129094.0	129773.0	60.0	-0.00522544
59.0	129794.0	129773.0	60.0	0.000167615
62.0	129413.0	129773.0	60.0	-0.00277253
65.0	129575.0	129773.0	60.0	-0.00152198
68.0	129593.0	129773.0	60.0	-0.00138541
71.0	129282.0	129773.0	60.0	-0.00377725
74.0	128764.0	129773.0	60.0	-0.00776931
77.0	128654.0	129773.0	60.0	-0.00861741
80.0	129457.0	129773.0	60.0	-0.00243185
83.0	129995.0	129773.0	60.0	0.00171228
86.0	131315.0	129773.0	60.0	0.0118898
89.0	132312.0	129773.0	60.0	0.0195689
92.0	132852.0	129773.0	60.0	0.0237311
95.0	131638.0	129773.0	60.0	0.0143782
98.0	129371.0	129773.0	60.0	-0.00309119
101.0	129332.0	129773.0	60.0	-0.00339262
104.0	129924.0	129773.0	60.0	0.00117082
107.0	129818.0	129773.0	60.0	0.00035387
110.0	128597.0	129773.0	60.0	-0.00905781
113.0	128033.0	129773.0	60.0	-0.0134043
116.0	127725.0	129773.0	60.0	-0.0157799
119.0	127898.0	129773.0	60.0	-0.0144472
122.0	128339.0	129773.0	60.0	-0.0110501
125.0	129971.0	129773.0	60.0	0.00153282
128.0	131025.0	129773.0	60.0	0.00964824
131.0	132270.0	129773.0	60.0	0.0192482
41.0	119862.0	120925.0	63.0	-0.00878767
44.0	121689.0	120925.0	63.0	0.00632266
47.0	121898.0	120925.0	63.0	0.00804853
50.0	121824.0	120925.0	63.0	0.007441
53.0	121139.0	120925.0	63.0	0.00177065
56.0	120993.0	120925.0	63.0	0.00056271
59.0	120579.0	120925.0	63.0	-0.00286084
62.0	120562.0	120925.0	63.0	-0.00300309
65.0	120419.0	120925.0	63.0	-0.00417832
68.0	119976.0	120925.0	63.0	-0.007843
71.0	119505.0	120925.0	63.0	-0.011741
74.0	118742.0	120925.0	63.0	-0.0180462
77.0	119327.0	120925.0	63.0	-0.0132116
80.0	120745.0	120925.0	63.0	-0.00148688
83.0	123020.0	120925.0	63.0	0.0173303
86.0	123191.0	120925.0	63.0	0.0187394
89.0	122972.0	120925.0	63.0	0.0169329
92.0	122878.0	120925.0	63.0	0.0161544
95.0	122654.0	120925.0	63.0	0.0143032
98.0	121491.0	120925.0	63.0	0.00468173
101.0	120177.0	120925.0	63.0	-0.0061844
104.0	119391.0	120925.0	63.0	-0.0126802
107.0	119498.0	120925.0	63.0	-0.0117998
110.0	119951.0	120925.0	63.0	-0.00805565
113.0	120268.0	120925.0	63.0	-0.00543264
116.0	120731.0	120925.0	63.0	-0.00160389
119.0	119638.0	120925.0	63.0	-0.0106431
122.0	120540.0	120925.0	63.0	-0.00317773
125.0	121355.0	120925.0	63.0	0.00356277
128.0	122424.0	120925.0	63.0	0.0123965
131.0	121237.0	120925.0	63.0	0.00257926
41.0	111861.0	111537.0	66.0	0.00290485
44.0	111980.0	111537.0	66.0	0.00397291
47.0	111613.0	111537.0	66.0	0.000675142
50.0	112260.0	111537.0	66.0	0.00648049
53.0	111055.0	111537.0	66.0	-0.00432523
56.0	111316.0	111537.0	66.0	-0.0019809
59.0	110842.0	111537.0	66.0	-0.00623684
62.0	111195.0	111537.0	66.0	-0.00306639
65.0	111102.0	111537.0	66.0	-0.00390321
68.0	110892.0	111537.0	66.0	-0.00578616
71.0	110939.0	111537.0	66.0	-0.00536696
74.0	110736.0	111537.0	66.0	-0.00718334
77.0	111040.0	111537.0	66.0	-0.00445523
80.0	110876.0	111537.0	66.0	-0.0059283
83.0	111687.0	111537.0	66.0	0.00134598
86.0	112719.0	111537.0	66.0	0.0105897
89.0	114024.0	111537.0	66.0	0.0222976
92.0	114033.0	111537.0	66.0	0.0223791
95.0	113725.0	111537.0	66.0	0.0196127
98.0	112370.0	111537.0	66.0	0.00746222
101.0	110812.0	111537.0	66.0	-0.00650723
104.0	109860.0	111537.0	66.0	-0.0150399
107.0	109889.0	111537.0	66.0	-0.0147815
110.0	110794.0	111537.0	66.0	-0.00666138
113.0	110327.0	111537.0	66.0	-0.010853
116.0	110230.0	111537.0	66.0	-0.0117207
119.0	110884.0	111537.0	66.0	-0.00585717
122.0	112033.0	111537.0	66.0	0.00444566
125.0	112253.0	111537.0	66.0	0.00641954
128.0	111979.0	111537.0	66.0	0.00396346
131.0	112340.0	111537.0	66.0	0.00719684
41.0	98962.4	99759.4	69.0	-0.00799012
44.0	99024.0	99759.4	69.0	-0.00737243
47.0	99774.7	99759.4	69.0	0.000152958
50.0	100719.0	99759.4	69.0	0.00962105
53.0	101412.0	99759.4	69.0	0.0165638
56.0	101030.0	99759.4	69.0	0.0127336
59.0	99896.3	99759.4	69.0	0.001372
62.0	99289.0	99759.4	69.0	-0.00471627
65.0	98928.3	99759.4	69.0	-0.0083311
68.0	99341.1	99759.4	69.0	-0.00419325
71.0	99062.3	99759.4	69.0	-0.00698802
74.0	98972.8	99759.4	69.0	-0.00788497
77.0	98410.3	99759.4	69.0	-0.0135243
80.0	98781.2	99759.4	69.0	-0.00980565
83.0	99672.2	99759.4	69.0	-0.000874476
86.0	101137.0	99759.4	69.0	0.0138052
89.0	101322.0	99759.4	69.0	0.0156597
92.0	101091.0	99759.4	69.0	0.0133522
95.0	100371.0	99759.4	69.0	0.00613394
98.0	99922.6	99759.4	69.0	0.00163531
101.0	99396.7	99759.4	69.0	-0.00363591
104.0	98322.0	99759.4	69.0	-0.0144089
107.0	99063.7	99759.4	69.0	-0.0069738
110.0	99532.4	99759.4	69.0	-0.00227547
113.0	100380.0	99759.4	69.0	0.00622505
116.0	100015.0	99759.4	69.0	0.00256503
119.0	99623.8	99759.4	69.0	-0.00136002
122.0	99604.4	99759.4	69.0	-0.00155448
125.0	99955.7	99759.4	69.0	0.0019677
128.0	100012.0	99759.4	69.0	0.00253533
131.0	99513.9	99759.4	69.0	-0.0024614
41.0	86484.4	86176.3	72.0	0.0035745
44.0	85589.7	86176.3	72.0	-0.00680697
47.0	85692.3	86176.3	72.0	-0.00561669
50.0	86264.0	86176.3	72.0	0.0010169
53.0	86615.3	86176.3	72.0	0.00509369
56.0	86239.6	86176.3	72.0	0.000733695
59.0	86713.5	86176.3	72.0	0.0062334
62.0	86337.3	86176.3	72.0	0.00186798
65.0	86692.2	86176.3	72.0	0.00598609
68.0	86482.0	86176.3	72.0	0.00354721
71.0	86115.4	86176.3	72.0	-0.000706869
74.0	85946.2	86176.3	72.0	-0.0026709
77.0	85518.7	86176.3	72.0	-0.00763177
80.0	85068.6	86176.3	72.0	-0.0128545
83.0	85074.8	86176.3	72.0	-0.0127822
86.0	85489.1	86176.3	72.0	-0.00797465
89.0	87057.7	86176.3	72.0	0.0102278
92.0	87015.7	86176.3	72.0	0.00974048
95.0	87424.2	86176.3	72.0	0.0144803
98.0	86380.9	86176.3	72.0	0.00237361
101.0	86230.0	86176.3	72.0	0.0006224
104.0	86123.5	86176.3	72.0	-0.000613561
107.0	85960.8	86176.3	72.0	-0.00250141
110.0	86185.7	86176.3	72.0	0.000108624
113.0	85919.0	86176.3	72.0	-0.00298662
116.0	86232.2	86176.3	72.0	0.000647861
119.0	85812.2	86176.3	72.0	-0.00422521
122.0	86069.4	86176.3	72.0	-0.00124071
125.0	86015.9	86176.3	72.0	-0.0018618
128.0	86437.1	86176.3	72.0	0.00302575
131.0	86278.8	86176.3	72.0	0.00118863
