Theta Phi Col1 Col2 Intensity
18.0 33.0 34281.7 43777.6 -0.048454575000000014
18.0 36.0 49936.8 43777.6 0.007131600000000008
18.0 39.0 36114.5 43777.6 -0.10886777499999999
18.0 42.0 36273.9 43777.6 -0.03830414999999999
18.0 45.0 52373.4 43777.6 0.042595225
18.0 48.0 50136.7 43777.6 0.0431024
18.0 51.0 26953.7 43777.6 -0.11010017500000001
18.0 54.0 43409.1 43777.6 0.11328527500000003
18.0 57.0 26721.9 43777.6 -0.086703925
18.0 60.0 34416.9 43777.6 -0.013970950000000008
18.0 63.0 26035.8 43777.6 -0.05776694999999999
18.0 66.0 32190.3 43777.6 -0.14453679999999997
18.0 69.0 33012.5 43777.6 -0.08229929999999996
18.0 72.0 28807.5 43777.6 -0.16551297499999998
18.0 75.0 29100.5 43777.6 -0.026110025000000012
18.0 78.0 31116.4 43777.6 -0.04247035000000001
18.0 81.0 33863.4 43777.6 -0.04125337500000002
18.0 84.0 38779.9 43777.6 0.06002117499999998
18.0 87.0 44778.5 43777.6 0.0853521
18.0 90.0 46625.5 43777.6 0.14422850000000004
18.0 93.0 36312.5 43777.6 0.057357075
18.0 96.0 48890.2 43777.6 0.162210125
18.0 99.0 36704.7 43777.6 0.05477185000000001
18.0 102.0 48110.3 43777.6 0.09968604999999997
18.0 105.0 37513.6 43777.6 0.09200887499999999
18.0 108.0 43345.5 43777.6 0.011479999999999994
18.0 111.0 31265.8 43777.6 0.007020649999999991
18.0 114.0 34978.5 43777.6 0.05361357499999999
18.0 117.0 38578.0 43777.6 -0.012644775000000023
18.0 120.0 33772.6 43777.6 -0.06279194999999999
18.0 123.0 45048.2 43777.6 -0.048454575000000014
18.0 126.0 34674.0 43777.6 0.007131599999999978
18.0 129.0 25666.0 43777.6 -0.10886777499999999
18.0 132.0 40119.0 43777.6 -0.038304149999999995
18.0 135.0 38427.2 43777.6 0.04259522499999999
18.0 138.0 41277.6 43777.6 0.0431024
18.0 141.0 38774.8 43777.6 -0.11010017500000001
18.0 144.0 55676.4 43777.6 0.11328527500000002
18.0 147.0 36045.3 43777.6 -0.086703925
18.0 150.0 44736.1 43777.6 -0.013970950000000008
18.0 153.0 40353.6 43777.6 -0.057766949999999984
18.0 156.0 33759.7 43777.6 -0.14453679999999997
18.0 159.0 34692.2 43777.6 -0.08229929999999999
18.0 162.0 32218.8 43777.6 -0.165512975
18.0 165.0 49708.4 43777.6 -0.026110025
18.0 168.0 41862.0 43777.6 -0.04247035
18.0 171.0 38741.1 43777.6 -0.04125337500000002
18.0 174.0 47420.8 43777.6 0.06002117499999998
18.0 177.0 43110.7 43777.6 0.08535209999999999
18.0 180.0 57743.1 43777.6 0.1442285
18.0 183.0 62808.4 43777.6 0.057357075000000014
18.0 186.0 51542.2 43777.6 0.16221012499999998
18.0 189.0 51137.6 43777.6 0.054771850000000004
18.0 192.0 58330.5 43777.6 0.09968604999999997
18.0 195.0 53769.0 43777.6 0.09200887499999999
18.0 198.0 46930.8 43777.6 0.011480000000000016
18.0 201.0 46482.9 43777.6 0.007020650000000002
18.0 204.0 61229.2 43777.6 0.053613575000000004
18.0 207.0 50868.2 43777.6 -0.01264477500000002
18.0 210.0 46630.0 43777.6 -0.06279194999999999
18.0 213.0 44906.4 43777.6 -0.048454575
18.0 216.0 47564.1 43777.6 0.007131600000000001
18.0 219.0 49811.2 43777.6 -0.10886777500000001
18.0 222.0 46398.6 43777.6 -0.03830414999999998
18.0 225.0 43616.2 43777.6 0.042595224999999994
18.0 228.0 44316.2 43777.6 0.0431024
18.0 231.0 45878.7 43777.6 -0.11010017500000004
18.0 234.0 49998.0 43777.6 0.11328527500000005
18.0 237.0 50707.2 43777.6 -0.08670392499999999
18.0 240.0 51171.3 43777.6 -0.013970950000000008
18.0 243.0 49197.2 43777.6 -0.05776694999999999
18.0 246.0 39351.1 43777.6 -0.14453679999999997
18.0 249.0 46118.5 43777.6 -0.08229929999999995
18.0 252.0 40393.1 43777.6 -0.16551297499999998
18.0 255.0 43891.5 43777.6 -0.026110025000000002
18.0 258.0 48137.0 43777.6 -0.04247035
18.0 261.0 48315.4 43777.6 -0.041253375000000016
18.0 264.0 48315.4 43777.6 0.06002117499999997
18.0 267.0 42594.5 43777.6 0.0853521
18.0 270.0 48540.3 43777.6 0.1442285
18.0 273.0 48906.0 43777.6 0.057357075000000014
18.0 276.0 43591.1 43777.6 0.162210125
18.0 279.0 46335.5 43777.6 0.054771850000000004
18.0 282.0 46894.3 43777.6 0.09968605
18.0 285.0 46273.3 43777.6 0.09200887500000003
18.0 288.0 49505.9 43777.6 0.011479999999999994
18.0 291.0 44810.5 43777.6 0.007020650000000008
18.0 294.0 42342.8 43777.6 0.05361357499999998
18.0 297.0 47291.0 43777.6 -0.012644775000000016
18.0 300.0 42728.8 43777.6 -0.06279194999999999
18.0 303.0 41969.9 43777.6 -0.04845457499999999
18.0 306.0 44350.9 43777.6 0.007131599999999978
18.0 309.0 46483.1 43777.6 -0.10886777499999999
18.0 312.0 45702.5 43777.6 -0.03830414999999998
18.0 315.0 46872.9 43777.6 0.042595225
18.0 318.0 45231.2 43777.6 0.043102400000000034
18.0 321.0 44795.8 43777.6 -0.110100175
18.0 324.0 43585.2 43777.6 0.113285275
