 theta   phi  intensity
  24.0 324.0    52098.8
  24.0 327.0    62750.5
  24.0 330.0    52166.0
  24.0 333.0    45439.6
  24.0 336.0    53189.5
  24.0 339.0    48775.1
  24.0 342.0    73252.4
  24.0 345.0    44650.3
  24.0 348.0    39031.7
  24.0 351.0    32092.7
  24.0 354.0    49462.2
  24.0 357.0    45722.2
  27.0   0.0    64407.3
  27.0   3.0    85102.8
  27.0   6.0    56083.3
  27.0   9.0    58538.3
  27.0  12.0    40960.1
  27.0  15.0    65458.1
  27.0  18.0    49459.7
  27.0  21.0    54023.6
  27.0  24.0    47685.0
  27.0  27.0    35842.1
  27.0  30.0    26669.6
  27.0  33.0    22024.4
  27.0  36.0    52375.2
  27.0  39.0    56020.5
  27.0  42.0    62269.8
  27.0  45.0    39114.6
  27.0  48.0    44233.0
  27.0  51.0    55471.2
  27.0  54.0    51100.9
  27.0  57.0    46238.0
  27.0  60.0    38774.8
  27.0  63.0    48438.2
  27.0  66.0    29264.1
  27.0  69.0    29264.1
  27.0  72.0    29264.1
  27.0  75.0    33063.9
  27.0  78.0    38605.5
  27.0  81.0    38067.7
  27.0  84.0    38067.7
  27.0  87.0    51770.1
  27.0  90.0    48253.3
  27.0  93.0    45556.6
  27.0  96.0    42441.1
  27.0  99.0    37364.3
  27.0 102.0    33905.0
  27.0 105.0    36989.3
  27.0 108.0    28632.9
  27.0 111.0    27579.6
  27.0 114.0    27579.6
  27.0 117.0    29607.0
  27.0 120.0    15482.6
  27.0 123.0    29777.5
  27.0 126.0    43969.9
  27.0 129.0    31312.0
  27.0 132.0    42297.7
  27.0 135.0    51612.7
  27.0 138.0    49550.9
  27.0 141.0    37384.1
  27.0 144.0    39100.4
  27.0 147.0    51283.5
  27.0 150.0    47311.4
  27.0 153.0    34488.5
  27.0 156.0    41149.9
  27.0 159.0    41149.9
  27.0 162.0    45637.5
  27.0 165.0    38128.6
  27.0 168.0    38128.6
  27.0 171.0    37173.0
  27.0 174.0    49318.3
  27.0 177.0    44399.5
  27.0 180.0    60034.3
  27.0 183.0    43466.5
  27.0 186.0    44515.2
  27.0 189.0    49025.2
  27.0 192.0    45917.4
  27.0 195.0    63673.9
  27.0 198.0    63673.9
  27.0 201.0    57961.2
  27.0 204.0    65438.2
  27.0 207.0    40255.5
  27.0 210.0    61409.5
  27.0 213.0    46567.4
  27.0 216.0    35719.6
  27.0 219.0    35719.6
  27.0 222.0    53940.7
  27.0 225.0    58470.1
  27.0 228.0    48334.4
  27.0 231.0    59576.0
  27.0 234.0    61949.3
  27.0 237.0    50410.0
  27.0 240.0    45081.3
  27.0 243.0    61353.0
  27.0 246.0    56690.0
  27.0 249.0    65072.5
  27.0 252.0    59895.5
  27.0 255.0    57973.8
  27.0 258.0    55075.6
  27.0 261.0    43368.5
  27.0 264.0    49753.4
  27.0 267.0    54566.6
  27.0 270.0    63370.7
  27.0 273.0    64841.3
  27.0 276.0    56065.3
  27.0 279.0    76377.5
  27.0 282.0    55033.7
  27.0 285.0    66136.0
  27.0 288.0    56145.7
  27.0 291.0    64705.8
  27.0 294.0    55912.1
  27.0 297.0    61557.7
  27.0 300.0    47876.8
  27.0 303.0    36501.4
  27.0 306.0    50690.6
  27.0 309.0    66782.8
  27.0 312.0    49560.7
  27.0 315.0    41341.5
  27.0 318.0    58329.5
  27.0 321.0    43724.0
  27.0 324.0    57296.5
  27.0 327.0    47118.1
  27.0 330.0    50265.4
  27.0 333.0    56506.9
  27.0 336.0    80859.5
  27.0 339.0    58893.6
  27.0 342.0    41636.2
  27.0 345.0    44352.3
  27.0 348.0    56341.7
  27.0 351.0    55202.4
  27.0 354.0    53110.2
  27.0 357.0    36767.2
  30.0   0.0   156690.6
  30.0   3.0   125593.3
  30.0   6.0   125469.9
  30.0   9.0   120181.2
  30.0  12.0    79895.1
  30.0  15.0   127185.8
  30.0  18.0    93651.4
  30.0  21.0   133527.4
  30.0  24.0   133527.4
  30.0  27.0    86681.8
  30.0  30.0    81628.7
  30.0  33.0   113010.9
  30.0  36.0    83857.3
  30.0  39.0    96550.8
  30.0  42.0    70842.4
  30.0  45.0   130059.5
  30.0  48.0   102644.7
  30.0  51.0   100522.3
  30.0  54.0   121769.6
  30.0  57.0   116090.2
  30.0  60.0    81674.5
  30.0  63.0    83145.6
  30.0  66.0    94793.6
  30.0  69.0    75709.9
  30.0  72.0    75709.9
  30.0  75.0   108576.3
  30.0  78.0    76918.8
  30.0  81.0   109564.7
  30.0  84.0    81809.2
  30.0  87.0    82756.9
  30.0  90.0    78696.2
  30.0  93.0    93819.0
  30.0  96.0    99833.2
  30.0  99.0    99833.2
  30.0 102.0    70566.2
  30.0 105.0    69888.3
  30.0 108.0    67458.5
  30.0 111.0    95866.7
  30.0 114.0    79314.9
  30.0 117.0    75827.8
  30.0 120.0    75746.3
  30.0 123.0    84763.2
  30.0 126.0    97062.6
  30.0 129.0    68325.0
  30.0 132.0   113859.2
  30.0 135.0    82630.1
  30.0 138.0    96010.1
  30.0 141.0    65126.7
  30.0 144.0    71585.0
  30.0 147.0    77578.4
  30.0 150.0    93703.2
  30.0 153.0    96049.5
  30.0 156.0    84527.1
  30.0 159.0    91701.5
  30.0 162.0    67954.3
  30.0 165.0    80567.0
  30.0 168.0    97066.3
  30.0 171.0   104169.3
  30.0 174.0    83226.0
  30.0 177.0    94532.3
  30.0 180.0   109712.9
  30.0 183.0   147948.3
  30.0 186.0    99735.0
  30.0 189.0   123182.0
  30.0 192.0   116476.8
  30.0 195.0   107272.3
  30.0 198.0   136715.0
  30.0 201.0   100316.8
  30.0 204.0   119533.1
  30.0 207.0    86905.3
  30.0 210.0   120657.9
  30.0 213.0   134894.1
  30.0 216.0   118574.0
  30.0 219.0   127116.6
  30.0 222.0   125184.0
  30.0 225.0   123077.8
  30.0 228.0   124533.5
  30.0 231.0   141348.4
  30.0 234.0   129872.8
  30.0 237.0   141274.1
  30.0 240.0   137001.0
  30.0 243.0   127963.3
  30.0 246.0   137931.2
  30.0 249.0   130835.9
  30.0 252.0   133647.1
  30.0 255.0    98709.0
  30.0 258.0   159578.1
  30.0 261.0   133351.9
  30.0 264.0   143749.3
  30.0 267.0   134082.5
  30.0 270.0   117382.1
  30.0 273.0   162499.7
  30.0 276.0   132659.4
  30.0 279.0   157230.5
  30.0 282.0   135374.7
  30.0 285.0   121064.2
  30.0 288.0   127324.6
  30.0 291.0   113089.6
  30.0 294.0   136739.9
  30.0 297.0   150150.6
  30.0 300.0   142273.9
  30.0 303.0   122748.7
  30.0 306.0   142328.6
  30.0 309.0   151184.3
  30.0 312.0   127366.6
  30.0 315.0   126963.7
  30.0 318.0    71590.4
  30.0 321.0   102393.0
  30.0 324.0   103198.0
  30.0 327.0   106990.7
  30.0 330.0   120166.9
  30.0 333.0   132840.7
  30.0 336.0   116589.4
  30.0 339.0   107532.3
  30.0 342.0    96437.0
  30.0 345.0    91929.4
  30.0 348.0   106206.0
  30.0 351.0    77142.3
  30.0 354.0   116370.3
  30.0 357.0    99110.8
  33.0   0.0    94379.4
  33.0   3.0   101781.1
  33.0   6.0   109341.0
  33.0   9.0    91522.2
  33.0  12.0   104184.3
  33.0  15.0    94359.4
  33.0  18.0    92963.2
  33.0  21.0   101824.5
  33.0  24.0    87734.6
  33.0  27.0    79687.3
  33.0  30.0    87298.4
  33.0  33.0    86141.0
  33.0  36.0    85842.7
  33.0  39.0    75861.5
  33.0  42.0    72387.7
  33.0  45.0    80826.8
  33.0  48.0    79446.0
  33.0  51.0    97751.6
  33.0  54.0   118045.0
  33.0  57.0    59436.0
  33.0  60.0    75772.2
  33.0  63.0   102081.8
  33.0  66.0    67609.8
  33.0  69.0    95210.9
  33.0  72.0    66250.1
  33.0  75.0    64364.1
  33.0  78.0    64153.9
  33.0  81.0    73953.6
  33.0  84.0    48439.8
  33.0  87.0    90215.2
  33.0  90.0    93719.5
  33.0  93.0    96170.6
  33.0  96.0    75483.0
  33.0  99.0    66685.4
  33.0 102.0    74282.2
  33.0 105.0    87785.3
  33.0 108.0    87188.1
  33.0 111.0    79936.3
  33.0 114.0    86993.7
  33.0 117.0    73756.8
  33.0 120.0   103376.4
  33.0 123.0    69940.0
  33.0 126.0    81721.4
  33.0 129.0    90157.2
  33.0 132.0    74113.1
  33.0 135.0    75696.7
  33.0 138.0    81158.5
  33.0 141.0   102502.9
  33.0 144.0    91994.3
  33.0 147.0    93866.9
  33.0 150.0   114625.3
  33.0 153.0    73556.9
  33.0 156.0   101685.5
  33.0 159.0    90185.5
  33.0 162.0    88027.1
  33.0 165.0   102058.4
  33.0 168.0   120464.3
  33.0 171.0    93551.0
  33.0 174.0   105195.6
  33.0 177.0   100446.8
  33.0 180.0    87444.7
  33.0 183.0   132391.1
  33.0 186.0    91908.1
  33.0 189.0   101601.6
  33.0 192.0   101601.6
  33.0 195.0   108681.6
  33.0 198.0   142253.2
  33.0 201.0   108682.8
  33.0 204.0   116932.8
  33.0 207.0    96548.3
  33.0 210.0   129402.9
  33.0 213.0   111407.4
  33.0 216.0   133253.1
  33.0 219.0   136853.3
  33.0 222.0   144866.9
  33.0 225.0   146923.7
  33.0 228.0   173965.9
  33.0 231.0   125615.1
  33.0 234.0   166534.5
  33.0 237.0   144933.2
  33.0 240.0   146141.2
  33.0 243.0   140083.2
  33.0 246.0   109840.4
  33.0 249.0   178592.6
  33.0 252.0   144906.6
  33.0 255.0   157883.8
  33.0 258.0   168040.1
  33.0 261.0   184783.5
  33.0 264.0   151827.3
  33.0 267.0   156617.7
  33.0 270.0   135209.9
  33.0 273.0   156481.4
  33.0 276.0   133311.8
  33.0 279.0   132131.6
  33.0 282.0   178662.4
  33.0 285.0   144153.8
  33.0 288.0   130997.5
  33.0 291.0   154898.7
  33.0 294.0    95477.9
  33.0 297.0   112921.8
  33.0 300.0   143031.2
  33.0 303.0   124648.3
  33.0 306.0   109034.8
  33.0 309.0   168731.6
  33.0 312.0   139993.7
  33.0 315.0   116870.5
  33.0 318.0   145066.0
  33.0 321.0   140227.2
  33.0 324.0   101579.5
  33.0 327.0   141111.5
  33.0 330.0   110228.4
  33.0 333.0   115049.0
  33.0 336.0   126590.1
  33.0 339.0   102134.3
  33.0 342.0   128977.6
  33.0 345.0   128977.6
  33.0 348.0   106706.1
  33.0 351.0   102644.0
  33.0 354.0   111694.9
  33.0 357.0   135576.5
  36.0   0.0    91983.4
  36.0   3.0    83766.8
  36.0   6.0    87118.9
  36.0   9.0    83314.4
  36.0  12.0    87657.3
  36.0  15.0    87042.9
  36.0  18.0    75932.3
  36.0  21.0    57255.8
  36.0  24.0    65437.5
  36.0  27.0    70020.8
  36.0  30.0    71676.0
  36.0  33.0    64869.3
  36.0  36.0    64869.3
  36.0  39.0    78801.9
  36.0  42.0    77156.9
  36.0  45.0    69739.6
  36.0  48.0    79924.1
  36.0  51.0    77401.3
  36.0  54.0    82929.5
  36.0  57.0    66090.0
  36.0  60.0    80761.1
  36.0  63.0    63543.8
  36.0  66.0    67418.1
  36.0  69.0    72978.5
  36.0  72.0    55768.8
  36.0  75.0    62450.2
  36.0  78.0    43406.2
  36.0  81.0    66249.3
  36.0  84.0    57690.2
  36.0  87.0    52051.0
  36.0  90.0    64315.4
  36.0  93.0    50995.4
  36.0  96.0    57356.0
  36.0  99.0    74547.1
  36.0 102.0    61342.7
  36.0 105.0    53394.1
  36.0 108.0    55406.2
