 theta   phi  intensity
  21.0   6.0    51777.7
  21.0   9.0    46664.9
  21.0  12.0    38795.6
  21.0  15.0    42499.0
  21.0  18.0    49183.9
  21.0  21.0    47633.4
  21.0  24.0    39374.3
  21.0  27.0    24965.0
  21.0  30.0    32079.7
  21.0  33.0    33029.4
  21.0  36.0    44651.7
  21.0  39.0    42209.7
  21.0  42.0    36278.2
  21.0  45.0    29935.0
  21.0  48.0    42384.1
  21.0  51.0    40314.0
  21.0  54.0    40314.0
  21.0  57.0    35613.7
  21.0  60.0    39192.2
  21.0  63.0    51438.1
  21.0  66.0    26565.6
  21.0  69.0    26565.6
  21.0  72.0    25691.0
  21.0  75.0    29667.6
  21.0  78.0    43024.5
  21.0  81.0    30125.7
  21.0  84.0    36609.6
  21.0  87.0    41662.8
  21.0  90.0    29696.3
  21.0  93.0    60807.3
  21.0  96.0    45959.1
  21.0  99.0    44259.0
  21.0 102.0    29758.1
  21.0 105.0    46543.8
  21.0 108.0    42643.8
  21.0 111.0    37328.0
  21.0 114.0    26225.1
  21.0 117.0    30121.0
  21.0 120.0    29497.3
  21.0 123.0    34748.2
  21.0 126.0    39116.5
  21.0 129.0    34580.5
  21.0 132.0    41596.1
  21.0 135.0    44697.9
  21.0 138.0    41760.1
  21.0 141.0    39785.5
  21.0 144.0    45016.5
  21.0 147.0    47877.8
  21.0 150.0    40177.2
  21.0 153.0    40177.2
  21.0 156.0    40177.2
  21.0 159.0    36394.0
  21.0 162.0    38007.4
  21.0 165.0    38990.0
  21.0 168.0    40054.6
  21.0 171.0    49037.1
  21.0 174.0    49037.1
  21.0 177.0    49037.1
  21.0 180.0    53747.3
  21.0 183.0    52436.0
  21.0 186.0    53698.5
  21.0 189.0    56436.3
  21.0 192.0    49178.0
  21.0 195.0    51869.7
  21.0 198.0    57734.4
  21.0 201.0    45129.2
  21.0 204.0    50557.6
  21.0 207.0    43024.6
  21.0 210.0    46664.1
  21.0 213.0    53725.2
  21.0 216.0    43930.5
  21.0 219.0    57009.6
  21.0 222.0    47925.7
  21.0 225.0    46455.9
  21.0 228.0    47268.0
  21.0 231.0    48622.9
  21.0 234.0    51797.6
  21.0 237.0    55338.3
  21.0 240.0    64872.1
  21.0 243.0    46644.7
  21.0 246.0    54436.5
  21.0 249.0    46722.9
  21.0 252.0    60112.5
  21.0 255.0    47675.2
  21.0 258.0    37034.7
  21.0 261.0    46049.5
  21.0 264.0    47879.4
  21.0 267.0    46923.9
  21.0 270.0    44792.5
  21.0 273.0    60242.0
  21.0 276.0    50640.9
  21.0 279.0    62341.6
  21.0 282.0    54292.5
  21.0 285.0    58405.9
  21.0 288.0    39138.7
  21.0 291.0    54837.7
  21.0 294.0    50616.1
  21.0 297.0    34963.9
  21.0 300.0    39478.2
  21.0 303.0    37568.6
  21.0 306.0    59104.6
  21.0 309.0    48720.0
  21.0 312.0    56053.6
  21.0 315.0    51085.4
  21.0 318.0    50026.5
  21.0 321.0    56376.2
  21.0 324.0    46912.0
  21.0 327.0    48913.7
  21.0 330.0    57919.1
  21.0 333.0    46291.2
  21.0 336.0    38724.3
  21.0 339.0    50728.8
  21.0 342.0    42344.0
  21.0 345.0    46033.7
  21.0 348.0    42227.6
  21.0 351.0    50787.3
  21.0 354.0    40399.6
  21.0 357.0    42682.5
  24.0   0.0    52012.0
  24.0   3.0    47559.9
  24.0   6.0    51225.8
  24.0   9.0    38691.2
  24.0  12.0    43641.1
  24.0  15.0    38522.7
  24.0  18.0    48641.5
  24.0  21.0    38415.9
  24.0  24.0    43085.2
  24.0  27.0    43085.2
  24.0  30.0    38772.1
  24.0  33.0    32965.1
  24.0  36.0    39863.2
  24.0  39.0    25683.2
  24.0  42.0    43546.3
  24.0  45.0    30189.0
  24.0  48.0    35126.6
  24.0  51.0    42259.2
  24.0  54.0    41793.2
  24.0  57.0    39924.7
  24.0  60.0    36142.6
  24.0  63.0    37085.3
  24.0  66.0    35216.1
  24.0  69.0    41854.8
  24.0  72.0    30475.0
  24.0  75.0    32475.8
  24.0  78.0    21487.2
  24.0  81.0    37055.8
  24.0  84.0    27968.3
  24.0  87.0    44124.9
  24.0  90.0    41458.3
  24.0  93.0    34271.3
  24.0  96.0    39413.7
  24.0  99.0    49956.5
  24.0 102.0    42381.7
  24.0 105.0    46614.8
  24.0 108.0    22253.8
  24.0 111.0    28572.7
  24.0 114.0    31131.3
  24.0 117.0    23106.1
  24.0 120.0    30370.9
  24.0 123.0    34296.0
  24.0 126.0    32503.8
  24.0 129.0    31976.9
  24.0 132.0    41946.6
  24.0 135.0    38520.4
  24.0 138.0    32526.4
  24.0 141.0    41452.0
  24.0 144.0    42180.0
  24.0 147.0    40929.4
  24.0 150.0    36884.6
  24.0 153.0    52972.8
  24.0 156.0    39455.2
  24.0 159.0    39971.7
  24.0 162.0    27901.6
  24.0 165.0    43341.7
  24.0 168.0    32242.9
  24.0 171.0    47303.0
  24.0 174.0    39709.9
  24.0 177.0    36232.5
  24.0 180.0    48516.4
  24.0 183.0    47092.8
  24.0 186.0    45274.1
  24.0 189.0    45208.1
  24.0 192.0    46511.8
  24.0 195.0    57123.3
  24.0 198.0    45294.7
  24.0 201.0    33232.3
  24.0 204.0    45318.9
  24.0 207.0    53972.1
  24.0 210.0    47827.5
  24.0 213.0    44029.1
  24.0 216.0    49469.4
  24.0 219.0    36488.8
  24.0 222.0    40173.3
  24.0 225.0    46674.3
  24.0 228.0    55321.3
  24.0 231.0    39531.2
  24.0 234.0    47117.8
  24.0 237.0    51001.9
  24.0 240.0    49500.2
  24.0 243.0    48379.4
  24.0 246.0    43812.5
  24.0 249.0    53525.6
  24.0 252.0    39456.3
  24.0 255.0    42114.7
  24.0 258.0    48858.3
  24.0 261.0    48858.3
  24.0 264.0    46704.6
  24.0 267.0    45149.5
  24.0 270.0    53173.6
  24.0 273.0    60865.1
  24.0 276.0    54853.1
  24.0 279.0    59699.7
  24.0 282.0    51740.2
  24.0 285.0    58977.2
  24.0 288.0    49051.7
  24.0 291.0    58129.8
  24.0 294.0    51586.2
  24.0 297.0    36982.5
  24.0 300.0    40368.3
  24.0 303.0    50349.0
  24.0 306.0    52256.5
  24.0 309.0    45182.9
  24.0 312.0    52244.7
  24.0 315.0    41684.6
  24.0 318.0    49989.4
  24.0 321.0    51493.6
  24.0 324.0    42042.3
  24.0 327.0    49618.9
  24.0 330.0    46361.9
  24.0 333.0    44749.1
  24.0 336.0    44533.8
  24.0 339.0    42089.2
  24.0 342.0    63681.3
  24.0 345.0    35806.4
  24.0 348.0    36062.2
  24.0 351.0    32077.9
  24.0 354.0    51305.4
  24.0 357.0    41262.0
  27.0   0.0    62379.0
  27.0   3.0    77316.7
  27.0   6.0    52088.4
  27.0   9.0    57838.9
  27.0  12.0    37410.3
  27.0  15.0    47941.2
  27.0  18.0    45651.7
  27.0  21.0    44179.4
  27.0  24.0    46115.3
  27.0  27.0    35605.4
  27.0  30.0    38902.0
  27.0  33.0    19458.4
  27.0  36.0    41208.5
  27.0  39.0    47403.2
  27.0  42.0    47107.4
  27.0  45.0    39030.8
  27.0  48.0    38089.4
  27.0  51.0    40517.0
  27.0  54.0    35840.7
  27.0  57.0    33239.3
  27.0  60.0    26562.1
  27.0  63.0    34346.1
  27.0  66.0    29942.1
  27.0  69.0    29942.1
  27.0  72.0    29942.1
  27.0  75.0    26652.9
